Area,District,Total,Male,Female
All island,,98.50381654,98.66379561,98.3505323
Western,Colombo,98.39203519,99.47343175,97.11520708
Western,Gampaha,99.52525375,99.63777949,99.41441094
Western,Kalutara,99.51808429,100,99.05001178
Western Total,,99.10604116,99.64902774,98.53616368
Central,Kandy,99.32553414,99.67706956,99.02396283
Central,Matale,98.23015606,97.27659275,98.96297497
Central,Nuwara Eliya,98.51852655,98.58798132,98.45336633
Central Total,,98.89532677,98.93073549,98.86464129
Southern,Galle,98.86436055,98.88619054,98.8424388
Southern,Matara,98.28988405,99.65857065,97.0226035
Southern,Hambantota,99.7377551,99.42065719,100
Southern Total,,98.88646636,99.27805545,98.52333019
Northern,Jaffna,99.58651798,99.79627046,99.38863561
Northern,Mannar,98.65365197,98.54454725,98.74753981
Northern,Vavunia,97.56703416,98.9824803,96.43294925
Northern,Mullativu,99.36458628,100,98.78999731
Northern,Kilinochchi,98.53913043,97.870265,99.03928007
Northern Total,,99.0774869,99.42810185,98.76399347
Eastern,Batticaloa,93.8024532,92.31528641,95.37166568
Eastern,Ampara,98.37350382,98.79328628,97.96098811
Eastern,Trincomalee,99.14030068,99.1347947,99.14496696
Eastern Total,,97.09876865,96.69020701,97.49465816
North Western,Kurunegala,99.04931694,98.99599447,99.09802668
North Western,Puttalam,97.9644874,98.29145729,97.59407958
North Western Total,,98.64487645,98.71553258,98.5749419
North Central,Aqnuradhapura,98.20919138,99.19504747,97.29529798
North Central,Polonnaruwa,95.36675994,91.76604884,99.09679831
North Central Total,,97.23359365,96.55124491,97.8916439
Uva,Badulla,95.92070121,94.93917959,96.76875337
Uva,Monaragala,98.55258628,100,97.16140761
Uva Total,,96.85082485,96.79267689,96.90299667
Sabaragamuwa,Ratnapura,98.60107142,98.19099974,98.94684647
Sabaragamuwa,Kegalle,98.08056162,98.29530321,97.88060639
Sabaragamuwa Total,,98.3898149,98.23466013,98.52601496
