District,1871,1881,1891,1901,1911,1921,1931,1946,1953,1963,1971,1981,2001,2012
Colombo,430.00,506.50,578.90,690.80,826.80,923.10,1081.20,1420.30,1708.70,2207.40,2672.30,1699.20,2251.30,2309.81
Gampaha,,,,,,,,,,,,1390.90,2063.70,2294.64
Kalutara,145.70,165.00,183.60,229.90,279.50,323.70,363.80,456.60,523.60,631.50,729.50,829.70,1066.20,1217.26
Kandy,232.20,288.30,288.40,377.60,408.40,434.00,587.70,711.40,840.40,1043.60,1188.00,1048.30,1279.00,1369.90
Matale,75.20,86.70,76.60,92.20,108.40,116.60,129.70,155.70,201.00,255.60,314.40,357.40,441.30,482.23
Nuwara - Eliya,58.20,98.70,109.60,153.00,155.50,167.20,235.80,268.10,325.30,397.70,450.30,603.60,703.60,706.59
Galle,194.40,209.70,222.90,258.10,291.00,313.10,363.60,459.80,524.40,641.50,735.20,814.50,990.50,1058.77
Matara,143.30,151.90,177.60,203.80,227.30,238.50,283.30,351.90,413.40,514.90,586.40,643.80,761.40,809.34
Hambantota,60.90,71.90,89.30,104.90,110.50,119.60,124.40,149.70,191.50,274.30,340.30,424.30,526.40,596.62
Jaffna,246.10,265.60,279.30,300.90,326.70,330.50,355.40,424.80,491.80,612.60,701.60,830.60,490.60,583.38
Mannar,20.30,21.30,24.50,24.90,25.60,25.60,25.10,31.50,43.70,60.10,77.80,106.20,151.60,99.05
Vavuniya,15.30,15.60,15.50,15.20,17.30,18.70,18.30,23.20,35.10,68.60,95.20,95.40,149.80,171.51
Mullaitivu,,,,,,,,,,,,77.20,121.70,91.95
Kilinochchi,,,,,,,,,,,,,127.30,112.88
Batticaloa,93.10,105.40,122.70,145.20,153.90,158.70,174.90,203.20,270.50,196.10,256.70,330.30,486.40,525.14
Ampara,,,,,,,,,,211.70,272.60,388.90,593.00,648.06
Trincomalee,19.40,22.20,25.70,28.40,29.80,34.10,37.50,75.90,83.90,138.50,188.20,255.90,340.20,378.18
Kurunagala,207.10,215.20,230.20,249.40,306.80,354.20,397.20,485.00,626.90,852.60,1025.60,1211.80,1460.20,1610.30
Puttalam,68.10,78.20,26.70,29.80,39.70,35.60,35.10,43.10,58.80,302.50,378.40,492.50,709.70,759.78
Chilaw,,,63.20,74.40,87.60,102.40,114.60,139.80,170.10,,,,,
Anuradhapura,63.70,66.10,75.30,79.10,86.30,96.50,97.40,139.50,229.30,279.80,388.80,587.90,745.70,856.23
Polannaruwa,,,,,,,,,,113.90,163.70,261.60,359.00,403.34
Badulla,129.00,165.70,159.20,186.70,216.70,233.90,303.20,372.20,466.90,521.80,615.40,641.00,780.00,811.76
Monaragala,,,,,,,,,,132.20,193.00,273.60,397.40,448.14
Ratnapura,92.20,105.90,108.00,133.00,166.00,203.00,263.80,343.60,421.60,546.00,661.30,797.10,1015.80,1082.28
Kegalle,105.30,120.00,150.60,188.80,242.50,268.80,314.60,401.80,471.60,578.50,654.80,684.90,785.50,836.60
